|USER|TWEET|LAT|LONG
0|unatalclara|Que ironía que el tatuaje que me hice con mi ex y que hoy tapé, fue el que más sangró y más dolió.|-99.1919955|19.357102
1|alizamakeupmx|La ironía en el nombre del lugar #mames (@ Trattoria Alfredo di Roma in Miguel Hidalgo, Distrito Federal) https://t.co/B9mzR1nAgU|-99.259495|19.3863707
2|etgarrido1976|@Jashua98 @jrisco El Chairo, por definición, no entiende la ironía.|-99.259495|19.3863707
3|enkianlatif|Jajaja que ironía el candidato del prian @JoseAMeadeK  se va despintando 😂😅😁☝ https://t.co/oLUCP6uUBF|-99.1919955|19.357102
4|Raverp|#FactOfTheDay En todos los módulos de carga de #Samsung y #Huawei del aeropuerto hay pura gente con #iPhone  #Ironia #AmoMiTelefono|-99.091915|19.4170226
5|Leon_Rock_|Cuando quieres cantar una canción y de repente revele tu ironía: https://t.co/EH6FWa42sf|-99.2481811|19.498594
6|spshalk|La ironía es una tristeza que no puede llorar y sonríe...|-99.221136|19.456367
7|IssahMeza|Y que ironía, mientras que #AMLOnarcoCandidato habla de #Amnistia la #LeyDeSeguridadInterior avanza con paso firme.… https://t.co/gbj0886Pha|-99.1919955|19.357102
8|PikaCel|Oh la ironia! Jajajajajaja y ya hay rateros esperando dentro https://t.co/t1pzQrv4mA|-99.259495|19.3863707
9|fernandeznorona|Corre al diccionario a revisar el significado de la palabra ironía https://t.co/cc0wujNqzw|-99.1843501|19.3998346
10|skie10|Soy la ironía de un viaje sin destino|-99.413769|19.412031
11|gasfransol|@beltrandelrio @Esteban_Montiel El sarcasmo y la ironía son sólo para inteligentes. Hay maderas que no agarran el barniz. Se les hace bolas|-99.4041647|19.3059713
12|cesarfaz|@JACrespo1 Está tomando una frase sacada de contexto en la que se refiere exclusivamente (con ironía para parafrase… https://t.co/DDqXWNAq7U|-99.1919955|19.357102
13|Axel_Arroyo|"Vaya ironía, que una de las ""cualidades"" más vitoreadas por el .@PRI_Nacional acerca de .@JoseAMeadeK es que precis… https://t.co/bxiQ90isoD"|-99.1919955|19.357102
14|aldohn81|#WhatsApp  se cayo! Que ironía y justo cuando te daría el si....|-99.1919955|19.357102
15|Kitzia_MCM|https://t.co/UxEp1TWtbh|-99.1843501|19.3998346
16|Thalia_Toledo5|"Alguien que sabe la diferencia entre ""ironía"" y ""paradoja"" es digna de mi atención! 😌"|-99.2058092|19.2970107
17|SteppenwolfR|Está oda a la ironía llamada vida. Sobran dudas. Falta saliva.|-99.1919955|19.357102
18|jppfamiliar|Monreal seguro encuentra la ironía de este tuit. https://t.co/9AHDsTayAH|-99.324375|19.232228
19|jppfamiliar|La ironía: su interlocutor le dice que no planea salir a votar en 2018 y ella contesta “Te doy 500 pesos y votas por quien yo te diga” 🤦🏼‍♂️|-99.324375|19.232228
