|USER|TWEET|LAT|LONG
0|YoYaMeDiCuenta|Pues pobres morras que juran que sus novios les son fieles y terminan durmiendo con la que realmente aman.|-99.259495|19.3863707
1|Dreamstellar25|Me molestan las morras que tienen el cabello largo y lo avientan hacia atrás valiendo que alguien esté...|-99.324375|19.232228
2|FeernandaVeSa|"Quisiera ser más linda con todos como esas morras que tienes a su mejor amiga guardada como ""amorcita"" ""bb"" pero la mía esta como pedos 😁"|-99.725566|19.3962222
3|Alte_e|Cuando fui al caribe les morres de tercer semestre todos pedos diciendo que nos ayudaban y hoy 4 morras me dieron s… https://t.co/xb1oNVw7tc|-99.315748|19.087511
4|thaj_hg|Esas morras que se pintan pecas... no mamar parecen la chilindrina 😂😂 que 🐶🐻|-99.180678|19.444937
5|_DonWero_|Esas morras que suben fotos de morros bien mamados, son las mismas que andan cogiendo con puro gordito como yo.|-99.1843501|19.3998346
6|CarlitosToulet|Morras que de la nada presumen viajes, ropita bien, accesorios, fotos tomadas con celular de ultima generación. Que… https://t.co/yAFl7hRCvT|-99.1919955|19.357102
7|AlexisZacghe|Weee las morras de secu de alado de mi dicen que estoy “guapo”¿Queee pedo?|-99.1843501|19.3998346
8|LVISXIV|Y cuando las morras se te quedan viendo muy clavado en el metro.. Que procede?!|-99.364536|19.049016
9|peeeem12|En pleno 2017, ya casi 2018 y existen morras que usan blusas con algún tipo de escote y con todos los tirantes de bra de fuera. 🤮🤦🏼‍♀️|-99.2481811|19.498594
10|Yatzi_Alfaro|Macho alfa que se respeta, no voltea a ver a otras morras en el camión. https://t.co/qjUkokJoXe|-99.330259|19.51799
11|ItzeelAguirre|Es bien bonito ver a las morras mamonas que me cagaban en la primaria, ya con sus bendiciones bien marrones y bien chorreados. Qué 🐶🐻.|-98.97875|19.577082
12|CarlosGonnzalez|Eh estado en muchas ciudades del mundo, pero CDMX siempre se me ah hecho bien cabron, morras besandose y cog... con… https://t.co/Ej2GaVLso6|-99.259495|19.3863707
13|CrisReal|Jajajaja “Las Morras” https://t.co/Uyfvzws4A3|-99.315748|19.087511
14|paoocg|Que con las morras que en las selfies se ponen el dedo entre los labios? 🤔|-99.1843501|19.3998346
15|papapablo_z|Harry Potter y el misterio de cómo esas morras de 16 años entraron a Café y metieron unas cubas bien ricas 👌🏼🤤|-99.413769|19.412031
16|carlosrendon_13|Creo que tengo una fijación con las morras de 25-26 años 🤔|-99.180678|19.444937
17|FerBobear|Qué pedo con los que se quejan de las morras que tienen pezones negros y tienen el pito tricolor.|-99.180678|19.444937
18|ItzeelAguirre|Una de las morras más inestables que conozco, me está dando unos consejazazazazos!!|-98.97875|19.577082
19|Rrrrosette|¿Por que se emputan porque otras morras hagan lo que quieran con SU cuerpo?|-99.2058092|19.2970107
20|choqoneTa|"Estoy molesta; el camión sigue sin llegar y las morras siguen sin caerse :c
Puto sol. https://t.co/KUzoz2ai0G"|-99.180678|19.444937
21|DEXTr|Ayer me tocó algo que nunca había visto en un concierto y me sacó mucho de pedo: un par de morras frente a mi estab… https://t.co/O3nDq8FiKC|-99.1919955|19.357102
22|ArmmasEs|Pinches morras mecas mamonas, alv. ¡Cuando les toque comprar con 'su dinero' me dicen!|-99.324375|19.232228
23|cheque1998|"Cada vez que los chilangos me digan algo respecto a la ""tonta Sinaloa"" les diré que al menos las morras de Sinaloa… https://t.co/OBXmT9TfAX"|-99.1919955|19.357102
24|_DonWero_|Morras así, aquí está su mantenido. https://t.co/jJr7j6r4Rb|-99.1843501|19.3998346
25|karlhahf|Que pedo morras que Chingados hacen en el Puto'Baño que se tardan pinches vergas tanto 😤 ...|-99.315748|19.087511
26|UrielPalmaT|Ando haciendo quehaceres en casa escuchando morras hiphoperas y ya me siento bien empoderado.|-99.2058092|19.2970107
27|Hellmarq76|Sonando @ruidorosaa rifan las morras por @Reactor105 ✌️|-99.118665|19.484399
28|ArbolDeMacarron|Las alguna vez fueron morras feas en la primaria, les pusieron un filtro y ahora son “modelos” de instagram.|-99.6470277|19.2156239
29|Parabatai_|"When pasaron SOTY habían unas morras comentando que la canción del año era Mic Drop 😂😂 
Se vale imaginar, pero no exageren."|-99.315748|19.087511
30|Pocas_Chichis|Aaah, ¿qué haría yo sin esas morras?. 🤣☺️ https://t.co/QrNyWR26we|-99.140238|19.2846922
31|FerMonroy_|¿Por que me hablas de las morras que te quieres dar? ¿Acaso tienes 💩 en la cabeza o qué pedo?|-99.324375|19.232228
32|LoreSanvicente|Morras de ahora a sus 12 vs. Yo a mis 12 🌚 https://t.co/SxOnBPIbjc|-99.330259|19.51799
33|azula_legria|"Chale ¿por que mis amigos tendrán novias tan raras,posesivas y locas...?
¿por que creen que me tiro a todo aquel qu… https://t.co/PKEquIyjGJ"|-99.330259|19.51799
34|viayolet|@Mexican0Pendejo Las morras como yo pensamos que tú eres el estúpido, qué bella es la reciprocidad. Tu existencia e… https://t.co/7GRGFPnHgU|-99.1843501|19.3998346
35|JonaHomms|Pinches morras complicadas alv.|-99.259495|19.3863707
36|ElDios_DelRock|Oyesss @Marialadelradio esa rola de The Donnas es frecuente en el #LunesDeEstrógeno y L #MedioDía Te propongo para… https://t.co/dubbzVI5ux|-99.259495|19.3863707
37|MJCondee|Yo dándole follow a páginas cool y a perritos y mi novio a puras morras hahahahaha|-99.180678|19.444937
