|USER|TWEET|LAT|LONG
0|anrosca|@Nigromanterueda @mundovelazquez o léanse al honroso #Sarcasmo “periodista” y nada chayotero #RicardoAleman q hoy d… https://t.co/7s4KNrf3QQ|-99.1843501|19.3998346
1|vanessa_amaya|Si claro, por supuesto, él es diferente ... No sé por qué desconfiamos #Sarcasmo https://t.co/XZbd3pYsaj|-99.259495|19.3863707
2|EvyMedinz|@JKNetizen Pensé que era sarcasmo 😬|-99.259495|19.3863707
3|leonardoolmos|DICEN QUE SI COMPARTES ESTA @OficialYuri DE LA MORALIDAD PODRÁS ANDAR DE MUJERZUELA, BORRACHA Y DROGADICTA, Y DESPU… https://t.co/SZuN3aypf0|-99.259495|19.3863707
4|alexrobledof|"@ZenTraderMx @Lvissxz Era sarcasmo jeje. 
Cabe todo, incluso sea un llamado (como ha hecho varios) al lumpen que es… https://t.co/7LICqunxLN"|-99.1843501|19.3998346
5|aquetzalli_gr|Es que... weeeey el tono en el que habla y su sarcasmo ante todo. Me cagaaaassssss|-99.2058092|19.2970107
6|AdriaGarciaE|Pero se va a registrar el día de la Virgen, así que tienen que creerle. Espero se entienda el sarcasmo...|-99.1919955|19.357102
7|luis_rams|Soooopas perico....con razón amloco la quiere tanto....puede q sepa como se hacen los hornos de Hitler y acabar de… https://t.co/bt2jiaKfdL|-99.413769|19.412031
8|gasfransol|@beltrandelrio @Esteban_Montiel El sarcasmo y la ironía son sólo para inteligentes. Hay maderas que no agarran el barniz. Se les hace bolas|-99.4041647|19.3059713
9|jguerrar|@SGarciaSoto @JoseAMeadeK Excelente ejemplo de buen gobierno el de @eruviel_avila 😂😂😂😂🐁obvio es sarcasmo!  Ahí la l… https://t.co/iUrFji1AeV|-99.1919955|19.357102
10|eyribarren|@JC_Berjon @LuisGerardoM @elbetillo @tigrepictures @FilmadoraMx @Tessa_ia @CharritoVazquez Si uno se dedica comunic… https://t.co/UeeJWlUNVO|-99.1843501|19.3998346
11|AprendiendoMadr|"Lo mejor de trabajar a esta hora de la madrugada es el frío #sarcasmo 
Al menos no me dormiré jajauaj"|-99.180678|19.444937
12|emiliolepine|@MarioPastenAve Te voy a explicar el concepto de 'sarcasmo'... mejor te explico primero 'concepto'... https://t.co/3x9INhMDTE|-99.1919955|19.357102
13|MBerrnal|Como te atreves a difamar a tan flamante candidato presidencial ...lo ha dicho el honorable @PRI_Nacional es una pe… https://t.co/TYxHaYyoIJ|-99.259495|19.3863707
14|MariaRiosMaciel|@_rastamandita Nelpas, no es sarcasmo.|-99.1919955|19.357102
15|Alex17SP|Ojalá todos entendieran el sarcasmo que manejo 🤫|-99.7825792|19.0763934
16|gis_romer|El sarcasmo es la mejor manera de insultar a los estúpidos sin que se den cuenta. 😬😂😂😂☺️|-99.364536|19.049016
17|ruleva|"@LeonKrauze And @LeonKrauze “liked” the tweet with the video? 🤔
Seguro me perdí de algo o no entendí el sarcasmo.… https://t.co/mjHpxeUkDF"|-99.1919955|19.357102
18|Francisc_0|@palsape @brozoxmiswebs @PANDF @JLozanoA No conozco la trayectoria del seudo Senador @JLozanoA pero no me sorprende… https://t.co/rFhyXeNPA3|-99.1919955|19.357102
19|Kitzia_MCM|https://t.co/UxEp1TWtbh|-99.1843501|19.3998346
20|Gabs_227|Me quedo con tu terrible peinado, con tus outfits tan fuera de lugar para pedas, con tu sonrisa coqueta y todo tu s… https://t.co/JCyEa49ayp|-99.7825792|19.0763934
21|YessicaMaylet|Su sarcasmo me mata 🤪😂|-99.1919955|19.357102
22|ortizduranmigu1|@SinEmbargoMX @jorgezepedap EPN, su sarcasmo es hacia el pueblo, ya que hemos permitió abusos. Y hoy el continuó al mando del país.|-99.413769|19.412031
23|DonPorfirioDiaz|Amo su Sarcasmo histórico, mis queridos peones de la patria 😂|-99.259495|19.3863707
24|DSORacing|@Aguirre_A_Luis ¿No se nota el sarcasmo por mi emoción por la Fórmula E? A mi me sigue gustando la NFL aunque ganen los Cowboys...|-99.2481811|19.498594
